"","candidate","votes","fraction_votes","PST045214","SEX255214","RHI125214","RHI225214","RHI325214","RHI425214","RHI525214","RHI625214","RHI725214","RHI825214"
"1743","Hillary Clinton",18220,0.627,339167,52,82.9,13.2,0.5,1.6,0.1,1.7,11.9,72.2
"1745","Donald Trump",31370,0.548,339167,52,82.9,13.2,0.5,1.6,0.1,1.7,11.9,72.2
"1751","Hillary Clinton",6523,0.598,153392,50.4,90.4,5.7,1.1,1.3,0.2,1.3,12.9,79.3
"1752","Donald Trump",16065,0.511,153392,50.4,90.4,5.7,1.1,1.3,0.2,1.3,12.9,79.3
"1756","Donald Trump",40156,0.225,2662874,51.4,77.9,18.9,0.3,1.7,0,1.2,66.2,14.8
"1760","Hillary Clinton",129467,0.747,2662874,51.4,77.9,18.9,0.3,1.7,0,1.2,66.2,14.8
"1762","Donald Trump",6030,0.539,77136,47.5,89.8,6.6,0.4,1.3,0.1,1.8,22.4,68.6
"1763","Hillary Clinton",4830,0.553,77136,47.5,89.8,6.6,0.4,1.3,0.1,1.8,22.4,68.6
"1769","Donald Trump",9192,0.512,76619,50.8,90.4,6.5,0.5,1,0.1,1.5,3.8,87.2
"1772","Hillary Clinton",2910,0.562,76619,50.8,90.4,6.5,0.5,1,0.1,1.5,3.8,87.2
"1776","Hillary Clinton",4559,0.52,196512,49.2,81.7,10.1,0.7,3.2,0.3,3.9,8.5,74.7
"1778","Donald Trump",17770,0.451,196512,49.2,81.7,10.1,0.7,3.2,0.3,3.9,8.5,74.7
"1783","Donald Trump",2202,0.585,39149,46.2,87.4,8.8,1.4,1,0.1,1.3,25.3,63.6
"1784","Hillary Clinton",1150,0.552,39149,46.2,87.4,8.8,1.4,1,0.1,1.3,25.3,63.6
"1788","Hillary Clinton",66654,0.638,1253001,50.9,69,22.2,0.6,5.6,0.2,2.5,29.2,43.3
"1790","Donald Trump",41097,0.398,1253001,50.9,69,22.2,0.6,5.6,0.2,2.5,29.2,43.3
"1794","Donald Trump",10345,0.469,310211,51,80,13.4,0.8,3,0.2,2.6,49.7,36.1
"1795","Hillary Clinton",16512,0.682,310211,51,80,13.4,0.8,3,0.2,2.6,49.7,36.1
"1799","Donald Trump",66065,0.521,1397710,51.6,76.1,18.8,0.6,2.7,0.1,1.7,20.7,57.3
"1800","Hillary Clinton",103369,0.715,1397710,51.6,76.1,18.8,0.6,2.7,0.1,1.7,20.7,57.3
"1803","Donald Trump",33536,0.51,485331,51.4,89.4,5.6,0.4,2.4,0.1,2,13.4,77.4
"1808","Hillary Clinton",21760,0.583,485331,51.4,89.4,5.6,0.4,2.4,0.1,2,13.4,77.4
"1813","Hillary Clinton",63699,0.603,938098,52.1,83.1,10.9,0.4,3.4,0.1,2,8.8,75.4
"1814","Donald Trump",61133,0.464,938098,52.1,83.1,10.9,0.4,3.4,0.1,2,8.8,75.4
"1816","Donald Trump",33187,0.449,634638,51,79.7,15.7,0.6,1.9,0.1,2,19.6,62.1
"1820","Hillary Clinton",29328,0.63,634638,51,79.7,15.7,0.6,1.9,0.1,2,19.6,62.1
"1823","Hillary Clinton",3182,0.494,72143,50.7,80.3,16.6,0.6,0.7,0.1,1.7,9.6,71.7
"1825","Donald Trump",5119,0.573,72143,50.7,80.3,16.6,0.6,0.7,0.1,1.7,9.6,71.7
"1828","Hillary Clinton",9734,0.57,217919,51.3,89.5,5.7,0.3,2.6,0.1,1.8,6.1,84
"1829","Donald Trump",24205,0.479,217919,51.3,89.5,5.7,0.3,2.6,0.1,1.8,6.1,84
"1835","Hillary Clinton",17554,0.669,291028,51.2,75.1,20.2,0.6,1.9,0.1,2.1,17.6,59.5
"1837","Donald Trump",18350,0.579,291028,51.2,75.1,20.2,0.6,1.9,0.1,2.1,17.6,59.5
"1842","Donald Trump",16044,0.464,163422,48.9,87.1,6.6,0.9,2.2,0.2,3.1,5.2,82.8
"1843","Hillary Clinton",3938,0.492,163422,48.9,87.1,6.6,0.9,2.2,0.2,3.1,5.2,82.8
"1845","Hillary Clinton",25881,0.611,396962,52.2,91.6,5,0.3,1.6,0.1,1.5,8.7,83.7
"1848","Donald Trump",34593,0.473,396962,52.2,91.6,5,0.3,1.6,0.1,1.5,8.7,83.7
"1853","Hillary Clinton",22069,0.583,442516,51.6,80.6,12.2,0.4,4.1,0.1,2.5,19.2,63.6
"1855","Donald Trump",25763,0.416,442516,51.6,80.6,12.2,0.4,4.1,0.1,2.5,19.2,63.6
"1857","Donald Trump",17769,0.54,114350,49.3,89.6,8.3,0.4,0.8,0.1,0.9,5.6,84.6
"1858","Hillary Clinton",7022,0.681,114350,49.3,89.6,8.3,0.4,0.8,0.1,0.9,5.6,84.6
"1863","Hillary Clinton",1475,0.422,44022,47.8,83.5,13.6,0.7,0.7,0.1,1.5,9.1,75.3
"1864","Donald Trump",2844,0.497,44022,47.8,83.5,13.6,0.7,0.7,0.1,1.5,9.1,75.3
"1870","Hillary Clinton",983,0.459,22582,43.6,75.8,20.7,0.9,0.8,0,1.7,4,72.3
"1872","Donald Trump",1203,0.535,22582,43.6,75.8,20.7,0.9,0.8,0,1.7,4,72.3
"1876","Hillary Clinton",336,0.367,15190,35.4,74.7,22.9,0.4,0.4,0,1.5,5.3,70.3
"1877","Donald Trump",719,0.523,15190,35.4,74.7,22.9,0.4,0.4,0,1.5,5.3,70.3
"1881","Donald Trump",34167,0.533,507531,51.2,84.5,11.1,0.5,1.9,0.1,1.9,12.2,73.8
"1884","Hillary Clinton",26276,0.602,507531,51.2,84.5,11.1,0.5,1.9,0.1,1.9,12.2,73.8
"1888","Donald Trump",1664,0.431,31432,44.7,81.4,15.2,0.7,0.6,0.1,2,3.8,78.2
"1892","Hillary Clinton",1659,0.489,31432,44.7,81.4,15.2,0.7,0.6,0.1,2,3.8,78.2
"1893","Donald Trump",6650,0.518,61530,49.1,89.4,5.9,0.9,1.1,0.2,2.5,6.1,84.2
"1896","Hillary Clinton",1515,0.5,61530,49.1,89.4,5.9,0.9,1.1,0.2,2.5,6.1,84.2
"1901","Donald Trump",1739,0.452,24451,45.2,80,15.6,1.4,0.7,0.1,2.2,3.5,77.2
"1904","Hillary Clinton",858,0.471,24451,45.2,80,15.6,1.4,0.7,0.1,2.2,3.5,77.2
"1905","Hillary Clinton",490,0.756,18540,49.9,77.8,19.7,0.5,0.8,0.2,1,9.3,69.8
"1909","Donald Trump",1290,0.415,18540,49.9,77.8,19.7,0.5,0.8,0.2,1,9.3,69.8
"1913","Hillary Clinton",201,0.798,8223,49.6,77,17.9,1.3,0.8,1,2,23.9,56.9
"1918","Donald Trump",619,0.659,8223,49.6,77,17.9,1.3,0.8,1,2,23.9,56.9
"1919","Hillary Clinton",113,0.638,11281,50.8,81,16.5,0.4,0.5,0.2,1.4,8,74.1
"1924","Donald Trump",904,0.538,11281,50.8,81,16.5,0.4,0.5,0.2,1.4,8,74.1
"1928","Hillary Clinton",303,0.851,3255,52.1,51.6,45.6,0.4,1.2,0.1,1.2,4.8,47.9
"1930","Donald Trump",262,0.602,3255,52.1,51.6,45.6,0.4,1.2,0.1,1.2,4.8,47.9
"1936","Hillary Clinton",3034,0.794,45909,49.6,54.9,41.8,0.3,1.7,0.1,1.2,2.1,53.3
"1938","Donald Trump",2069,0.458,45909,49.6,54.9,41.8,0.3,1.7,0.1,1.2,2.1,53.3
"1941","Hillary Clinton",172,0.49,18295,49.3,93.8,2.9,0.6,1.3,0.1,1.3,6.5,88.1
"1944","Donald Trump",1806,0.489,18295,49.3,93.8,2.9,0.6,1.3,0.1,1.3,6.5,88.1
"1949","Donald Trump",4653,0.408,73240,50.7,81.8,11.7,0.5,3.8,0.1,2.2,9.6,73.4
"1951","Hillary Clinton",1457,0.617,73240,50.7,81.8,11.7,0.5,3.8,0.1,2.2,9.6,73.4
"1954","Hillary Clinton",2216,0.59,101736,50.7,85.6,10.9,0.6,1,0.1,1.9,8,78.7
"1959","Donald Trump",8281,0.462,101736,50.7,85.6,10.9,0.6,1,0.1,1.9,8,78.7
"1965","Donald Trump",1020,0.559,17464,52.5,61.8,35.5,0.6,0.8,0,1.3,6.3,56.5
"1966","Hillary Clinton",779,0.802,17464,52.5,61.8,35.5,0.6,0.8,0,1.3,6.3,56.5
"1968","Hillary Clinton",325,0.667,18700,50.7,86.6,11.1,0.4,0.6,0,1.2,5,82.4
"1973","Donald Trump",1563,0.552,18700,50.7,86.6,11.1,0.4,0.6,0,1.2,5,82.4
"1975","Hillary Clinton",12944,0.828,153905,53,42.6,53.8,0.3,1.9,0.1,1.3,3.2,40.3
"1981","Donald Trump",5942,0.388,153905,53,42.6,53.8,0.3,1.9,0.1,1.3,3.2,40.3
"1982","Donald Trump",935,0.436,12795,52.2,70.9,26.8,0.1,1,0,1.1,2.6,68.9
"1983","Hillary Clinton",370,0.777,12795,52.2,70.9,26.8,0.1,1,0,1.1,2.6,68.9
"1990","Hillary Clinton",137,0.491,18417,50.6,94.4,3.5,0.4,0.3,0,1.5,2.1,92.5
"1995","Donald Trump",1161,0.488,18417,50.6,94.4,3.5,0.4,0.3,0,1.5,2.1,92.5
"2000","Donald Trump",1009,0.52,15418,51.2,62.2,35.4,0.4,0.6,0.2,1.2,5.6,57.6
"2002","Hillary Clinton",714,0.776,15418,51.2,62.2,35.4,0.4,0.6,0.2,1.2,5.6,57.6
"2003","Hillary Clinton",893,0.633,33906,50.2,78.9,15.4,0.5,2,0.2,3,6.3,74
"2007","Donald Trump",2214,0.391,33906,50.2,78.9,15.4,0.5,2,0.2,3,6.3,74
"2013","Donald Trump",3111,0.377,72087,50.6,67,29.1,0.4,1.7,0.1,1.6,3.7,64.2
"2015","Hillary Clinton",1910,0.607,72087,50.6,67,29.1,0.4,1.7,0.1,1.6,3.7,64.2
"2019","Hillary Clinton",1659,0.895,22709,52,49.2,48.4,0.3,0.5,0.1,1.4,3,47
"2021","Donald Trump",1181,0.451,22709,52,49.2,48.4,0.3,0.5,0.1,1.4,3,47
"2026","Hillary Clinton",922,0.817,23368,47.1,70.2,27.7,0.3,0.5,0,1.2,3.1,67.6
"2027","Donald Trump",1884,0.488,23368,47.1,70.2,27.7,0.3,0.5,0,1.2,3.1,67.6
"2035","Donald Trump",227,0.508,6463,40,36.1,61.2,0.6,0.6,0.3,1.3,4.7,32.9
"2036","Hillary Clinton",499,0.889,6463,40,36.1,61.2,0.6,0.6,0.3,1.3,4.7,32.9
"2038","Donald Trump",3065,0.485,52027,48.6,75,19.5,0.7,1.7,0.2,2.9,6.2,70
"2041","Hillary Clinton",1405,0.666,52027,48.6,75,19.5,0.7,1.7,0.2,2.9,6.2,70
"2048","Hillary Clinton",434,0.783,10888,50.4,73.2,24.5,0.2,0.8,0.1,1.2,11.2,62.8
"2049","Donald Trump",897,0.49,10888,50.4,73.2,24.5,0.2,0.8,0.1,1.2,11.2,62.8
"2053","Hillary Clinton",3173,0.617,114093,50.9,77.3,19.1,0.5,1,0.1,2,6.5,71.8
"2058","Donald Trump",7495,0.417,114093,50.9,77.3,19.1,0.5,1,0.1,2,6.5,71.8
"2060","Hillary Clinton",1082,0.508,65621,51.3,93.7,2.8,0.4,1.4,0.1,1.6,2.8,91.4
"2064","Donald Trump",4449,0.402,65621,51.3,93.7,2.8,0.4,1.4,0.1,1.6,2.8,91.4
"2067","Hillary Clinton",275,0.737,12897,39.7,65,32,0.6,0.6,0,1.8,3.5,62.1
"2071","Donald Trump",602,0.473,12897,39.7,65,32,0.6,0.6,0,1.8,3.5,62.1
"2073","Hillary Clinton",19898,0.723,283379,51.8,54.5,40.1,0.3,2.8,0.2,2.1,6,49.8
"2076","Donald Trump",10726,0.35,283379,51.8,54.5,40.1,0.3,2.8,0.2,2.1,6,49.8
"2080","Hillary Clinton",182,0.813,11837,32.7,72.2,19.3,1.3,2.8,0.8,3.6,15,60
"2084","Donald Trump",175,0.545,11837,32.7,72.2,19.3,1.3,2.8,0.8,3.6,15,60
"2091","Donald Trump",1674,0.517,24939,48.8,86.6,10.4,0.4,0.6,0.3,1.6,4.8,82.8
"2093","Hillary Clinton",566,0.637,24939,48.8,86.6,10.4,0.4,0.6,0.3,1.6,4.8,82.8
"2094","Donald Trump",18460,0.367,230985,50.7,89,6.6,0.5,1.9,0.1,1.9,10.1,80.1
"2097","Hillary Clinton",4837,0.518,230985,50.7,89,6.6,0.5,1.9,0.1,1.9,10.1,80.1
"2102","Donald Trump",2357,0.267,120938,52.3,65.5,27.7,0.4,4.4,0.1,1.9,10.8,56
"2105","Hillary Clinton",7089,0.507,120938,52.3,65.5,27.7,0.4,4.4,0.1,1.9,10.8,56
"2108","Donald Trump",179,0.517,3102,53.1,38.6,59.5,0.3,0.5,0.1,1,1.1,37.6
"2110","Hillary Clinton",297,0.858,3102,53.1,38.6,59.5,0.3,0.5,0.1,1,1.1,37.6
"2117","Hillary Clinton",25130,0.816,267542,52.6,23.6,68.3,0.6,5.3,0.1,2.1,13.1,13.5
"2118","Donald Trump",3264,0.42,267542,52.6,23.6,68.3,0.6,5.3,0.1,2.1,13.1,13.5
"2125","Donald Trump",412,0.509,6831,51,69,28.3,0.8,0.2,0.1,1.6,4.2,65.7
"2127","Hillary Clinton",167,0.795,6831,51,69,28.3,0.8,0.2,0.1,1.6,4.2,65.7
"2130","Hillary Clinton",39277,0.635,730981,51.6,64.6,27.3,0.5,5.1,0.1,2.4,12.7,53.9
"2132","Donald Trump",34721,0.31,730981,51.6,64.6,27.3,0.5,5.1,0.1,2.4,12.7,53.9
"2136","Hillary Clinton",1094,0.77,42811,48.7,69.4,28,0.4,0.9,0.1,1.3,10.9,59.4
"2140","Donald Trump",2469,0.547,42811,48.7,69.4,28,0.4,0.9,0.1,1.3,10.9,59.4
"2143","Donald Trump",2967,0.496,46102,50.4,73.1,23.2,1.4,1,0.1,1.2,18.3,57.1
"2148","Hillary Clinton",1035,0.761,46102,50.4,73.1,23.2,1.4,1,0.1,1.2,18.3,57.1
"2151","Donald Trump",9177,0.346,139257,51.1,75.4,16.9,0.4,4.2,0.2,2.9,6.2,70.5
"2155","Hillary Clinton",4805,0.669,139257,51.1,75.4,16.9,0.4,4.2,0.2,2.9,6.2,70.5
"2158","Hillary Clinton",580,0.762,17214,51.6,69.8,27.8,0.4,0.8,0.1,1.2,6.1,64.4
"2163","Donald Trump",1229,0.547,17214,51.6,69.8,27.8,0.4,0.8,0.1,1.2,6.1,64.4
"2168","Hillary Clinton",4536,0.665,135571,51.2,77.7,18,0.4,1.9,0.1,1.9,6.7,71.9
"2170","Donald Trump",9593,0.379,135571,51.2,77.7,18,0.4,1.9,0.1,1.9,6.7,71.9
"2173","Donald Trump",930,0.519,12387,49.4,76.2,21.3,0.6,0.4,0.1,1.4,3.1,73.7
"2177","Hillary Clinton",493,0.791,12387,49.4,76.2,21.3,0.6,0.4,0.1,1.4,3.1,73.7
"2183","Donald Trump",1204,0.502,22934,52.4,53.8,43.6,0.3,1,0.1,1.2,3.2,51.3
"2184","Hillary Clinton",729,0.801,22934,52.4,53.8,43.6,0.3,1,0.1,1.2,3.2,51.3
"2185","Donald Trump",1151,0.412,16389,50.8,95.6,1.4,0.5,1.1,0.1,1.2,2.1,93.9
"2188","Hillary Clinton",241,0.503,16389,50.8,95.6,1.4,0.5,1.1,0.1,1.2,2.1,93.9
"2196","Hillary Clinton",312,0.53,22957,49.9,96.4,0.9,0.4,0.7,0.1,1.5,4,93
"2198","Donald Trump",2649,0.454,22957,49.9,96.4,0.9,0.4,0.7,0.1,1.5,4,93
"2202","Donald Trump",1525,0.485,27220,51.4,55.7,41.6,0.8,0.7,0.1,1.1,5.6,51.6
"2205","Hillary Clinton",1316,0.79,27220,51.4,55.7,41.6,0.8,0.7,0.1,1.1,5.6,51.6
"2210","Donald Trump",11141,0.252,722161,52.5,36.7,54.8,0.5,5.9,0.1,2,8.9,29.9
"2212","Hillary Clinton",82348,0.715,722161,52.5,36.7,54.8,0.5,5.9,0.1,2,8.9,29.9
"2215","Donald Trump",1360,0.504,20976,47.8,68,30,0.4,0.5,0.2,1,3.4,65.6
"2218","Hillary Clinton",579,0.795,20976,47.8,68,30,0.4,0.5,0.2,1,3.4,65.6
"2221","Hillary Clinton",737,0.884,14188,46,47.6,50.5,0.2,0.7,0.1,0.9,7.3,42.2
"2226","Donald Trump",584,0.555,14188,46,47.6,50.5,0.2,0.7,0.1,0.9,7.3,42.2
"2230","Donald Trump",3078,0.468,92407,53.5,29,68.4,0.3,1,0.2,1.2,2.6,27.3
"2231","Hillary Clinton",8891,0.857,92407,53.5,29,68.4,0.3,1,0.2,1.2,2.6,27.3
"2236","Donald Trump",6984,0.428,138776,52.1,51.8,43.5,0.4,1.7,0.2,2.4,8.9,44.9
"2238","Hillary Clinton",9375,0.746,138776,52.1,51.8,43.5,0.4,1.7,0.2,2.4,8.9,44.9
"2244","Hillary Clinton",671,0.892,10491,52.8,48.2,49.9,0.4,0.6,0,0.9,2.2,46.5
"2246","Donald Trump",760,0.561,10491,52.8,48.2,49.9,0.4,0.6,0,0.9,2.2,46.5
"2248","Hillary Clinton",32,0.457,4003,50.7,88.7,5.6,3.1,0.5,0.2,1.8,28.1,63.6
"2254","Donald Trump",268,0.583,4003,50.7,88.7,5.6,3.1,0.5,0.2,1.8,28.1,63.6
"2255","Hillary Clinton",1178,0.645,55423,50.1,82.7,14,0.4,0.9,0.1,1.8,3.7,79.6
"2256","Donald Trump",3648,0.393,55423,50.1,82.7,14,0.4,0.9,0.1,1.8,3.7,79.6
"2267","Donald Trump",1394,0.459,19438,52.1,68.2,29.4,0.4,0.9,0,1.1,5.5,63.7
"2268","Hillary Clinton",805,0.75,19438,52.1,68.2,29.4,0.4,0.9,0,1.1,5.5,63.7
"2270","Hillary Clinton",755,0.831,22755,51.1,63.6,34.2,0.4,0.7,0,1,4.6,59.8
"2272","Donald Trump",1489,0.502,22755,51.1,63.6,34.2,0.4,0.7,0,1,4.6,59.8
"2278","Hillary Clinton",347,0.785,10898,51.7,65.5,31.2,0.6,1.2,0.3,1.2,12,56.2
"2280","Donald Trump",481,0.38,10898,51.7,65.5,31.2,0.6,1.2,0.3,1.2,12,56.2
"2284","Hillary Clinton",545,0.599,23753,51.1,96.9,0.8,0.4,0.5,0,1.3,2,95.2
"2285","Donald Trump",3001,0.532,23753,51.1,96.9,0.8,0.4,0.5,0,1.3,2,95.2
"2293","Donald Trump",8055,0.327,109664,51.6,70.9,22,0.4,4.5,0.1,2.1,7.1,65
"2296","Hillary Clinton",7257,0.711,109664,51.6,70.9,22,0.4,4.5,0.1,2.1,7.1,65
"2297","Donald Trump",5945,0.422,96063,51.5,80.9,14.8,0.8,1.4,0.3,1.7,10.3,72.3
"2301","Hillary Clinton",2555,0.645,96063,51.5,80.9,14.8,0.8,1.4,0.3,1.7,10.3,72.3
"2304","Hillary Clinton",3701,0.538,204302,50.3,85.2,3.5,0.5,9.1,0.1,1.6,9.7,76.4
"2310","Donald Trump",15698,0.372,204302,50.3,85.2,3.5,0.5,9.1,0.1,1.6,9.7,76.4
"2315","Donald Trump",1997,0.46,22264,51.2,87.3,9.6,0.3,0.9,0,1.8,4.3,83.8
"2316","Hillary Clinton",352,0.627,22264,51.2,87.3,9.6,0.3,0.9,0,1.8,4.3,83.8
"2322","Donald Trump",22368,0.266,996319,51.4,46.7,44.3,0.3,6.7,0.1,2,7.6,40.5
"2323","Hillary Clinton",82576,0.711,996319,51.4,46.7,44.3,0.3,6.7,0.1,2,7.6,40.5
"2326","Donald Trump",3314,0.516,28829,50.1,96.3,0.9,0.6,0.4,0.5,1.2,10.9,86.8
"2327","Hillary Clinton",489,0.53,28829,50.1,96.3,0.9,0.6,0.4,0.5,1.2,10.9,86.8
"2333","Hillary Clinton",38,0.623,3053,51.1,87.9,9.9,0.4,0.4,0,1.4,1.5,86.5
"2334","Donald Trump",405,0.586,3053,51.1,87.9,9.9,0.4,0.4,0,1.4,1.5,86.5
"2340","Donald Trump",5516,0.438,82175,52.7,69.5,26.5,0.5,1.5,0.2,1.8,6.5,64.1
"2343","Hillary Clinton",2870,0.687,82175,52.7,69.5,26.5,0.5,1.5,0.2,1.8,6.5,64.1
"2347","Donald Trump",4339,0.506,56047,50.4,92,4.4,0.6,1.1,0.4,1.4,15.2,78.2
"2348","Hillary Clinton",776,0.575,56047,50.4,92,4.4,0.6,1.1,0.4,1.4,15.2,78.2
"2353","Hillary Clinton",887,0.759,25359,51.3,67.4,29.1,1.3,0.6,0.2,1.4,10.9,58.7
"2358","Donald Trump",1422,0.445,25359,51.3,67.4,29.1,1.3,0.6,0.2,1.4,10.9,58.7
"2361","Donald Trump",1555,0.412,16490,51.2,61,36.6,0.5,0.5,0.2,1.2,6.3,56
"2362","Hillary Clinton",1076,0.858,16490,51.2,61,36.6,0.5,0.5,0.2,1.2,6.3,56
"2367","Hillary Clinton",37465,0.662,877922,51,58.1,27,0.8,11.5,0.1,2.5,20.5,40.6
"2368","Donald Trump",32014,0.325,877922,51,58.1,27,0.8,11.5,0.1,2.5,20.5,40.6
"2374","Donald Trump",3289,0.418,43752,52.6,90.7,4,1,2.5,0.3,1.4,13.6,78.7
"2379","Hillary Clinton",608,0.52,43752,52.6,90.7,4,1,2.5,0.3,1.4,13.6,78.7
"2381","Donald Trump",12536,0.385,190761,50.1,87.3,8.1,0.9,2,0.2,1.5,27.5,61.9
"2382","Hillary Clinton",3482,0.603,190761,50.1,87.3,8.1,0.9,2,0.2,1.5,27.5,61.9
"2389","Hillary Clinton",1112,0.874,8509,46,25.4,72.6,0.4,0.7,0,0.8,1.7,24.3
"2394","Donald Trump",229,0.554,8509,46,25.4,72.6,0.4,0.7,0,0.8,1.7,24.3
"2396","Hillary Clinton",413,0.551,28641,51.6,92.3,5.1,0.4,0.7,0,1.6,1.4,91.1
"2401","Donald Trump",2818,0.495,28641,51.6,92.3,5.1,0.4,0.7,0,1.6,1.4,91.1
"2402","Hillary Clinton",1372,0.75,32876,50.2,79.9,17.1,0.4,0.9,0.1,1.6,3.3,77.2
"2403","Donald Trump",2542,0.369,32876,50.2,79.9,17.1,0.4,0.9,0.1,1.6,3.3,77.2
"2411","Donald Trump",1858,0.442,25377,50.4,78.4,18.8,0.2,1,0,1.5,3.6,75.4
"2412","Hillary Clinton",740,0.723,25377,50.4,78.4,18.8,0.2,1,0,1.5,3.6,75.4
"2418","Hillary Clinton",276,0.701,11603,50.1,86.4,10.7,0.4,0.6,0,1.8,2.5,84.4
"2422","Donald Trump",1068,0.552,11603,50.1,86.4,10.7,0.4,0.6,0,1.8,2.5,84.4
"2423","Hillary Clinton",15639,0.777,213869,52.2,53.4,40.6,0.3,3.4,0.1,2.2,6.4,48.6
"2428","Donald Trump",11330,0.402,213869,52.2,53.4,40.6,0.3,3.4,0.1,2.2,6.4,48.6
"2435","Donald Trump",7091,0.37,149111,51.3,63.6,30.3,0.4,2.8,0.2,2.7,6.6,58.3
"2436","Hillary Clinton",6274,0.76,149111,51.3,63.6,30.3,0.4,2.8,0.2,2.7,6.6,58.3
"2441","Donald Trump",869,0.574,9104,49.2,71.3,26.7,0.1,0.8,0,1.1,3.6,68.4
"2442","Hillary Clinton",326,0.799,9104,49.2,71.3,26.7,0.1,0.8,0,1.1,3.6,68.4
"2444","Donald Trump",5484,0.429,61870,50.4,88.8,7.2,0.4,1.9,0.1,1.6,6.7,82.7
"2449","Hillary Clinton",1193,0.614,61870,50.4,88.8,7.2,0.4,1.9,0.1,1.6,6.7,82.7
"2451","Donald Trump",1205,0.484,13432,51.3,76,21.5,0.6,0.3,0,1.7,4.2,72.5
"2456","Hillary Clinton",632,0.814,13432,51.3,76,21.5,0.6,0.3,0,1.7,4.2,72.5
"2459","Hillary Clinton",400,0.766,14859,50.5,82,15.6,0.8,0.6,0,1,11.3,72
"2460","Donald Trump",1071,0.469,14859,50.5,82,15.6,0.8,0.6,0,1,11.3,72
"2466","Hillary Clinton",1519,0.885,16272,51.4,44.5,53.6,0.2,0.7,0.1,0.9,3.3,41.9
"2468","Donald Trump",821,0.478,16272,51.4,44.5,53.6,0.2,0.7,0.1,0.9,3.3,41.9
"2472","Donald Trump",513,0.518,9125,46.8,54.6,43.2,0.4,0.5,0.2,1,5.1,51.2
"2473","Hillary Clinton",355,0.841,9125,46.8,54.6,43.2,0.4,0.5,0.2,1,5.1,51.2
"2479","Hillary Clinton",388,0.851,9701,43.5,63.5,35,0.3,0.3,0,0.9,2.2,61.8
"2485","Donald Trump",684,0.536,9701,43.5,63.5,35,0.3,0.3,0,0.9,2.2,61.8
"2488","Hillary Clinton",1585,0.802,28787,51.6,73,24.9,0.3,0.8,0,1.1,1.5,71.9
"2491","Donald Trump",2318,0.49,28787,51.6,73,24.9,0.3,0.8,0,1.1,1.5,71.9
"2493","Hillary Clinton",868,0.799,18207,52.3,65.7,31.7,0.3,0.5,0,1.7,2.2,64.1
"2497","Donald Trump",1398,0.455,18207,52.3,65.7,31.7,0.3,0.5,0,1.7,2.2,64.1
"2500","Donald Trump",512,0.569,10373,49.6,72.1,22.7,1.1,1.4,0,2.7,5.5,68
"2501","Hillary Clinton",234,0.765,10373,49.6,72.1,22.7,1.1,1.4,0,2.7,5.5,68
"2507","Hillary Clinton",2294,0.822,47851,52.4,61.3,36.2,0.3,1.1,0,1.2,2.5,59.3
"2512","Donald Trump",3088,0.444,47851,52.4,61.3,36.2,0.3,1.1,0,1.2,2.5,59.3
"2517","Donald Trump",3057,0.513,29191,49.8,75.1,20.7,0.4,2.4,0.1,1.4,2.6,72.9
"2520","Hillary Clinton",1009,0.742,29191,49.8,75.1,20.7,0.4,2.4,0.1,1.4,2.6,72.9
"2521","Donald Trump",1332,0.458,65198,48.8,51.1,40.8,0.8,2.4,0.6,4.3,12.1,42.2
"2526","Hillary Clinton",2783,0.797,65198,48.8,51.1,40.8,0.8,2.4,0.6,4.3,12.1,42.2
"2530","Hillary Clinton",538,0.845,7622,50.7,66.6,31.6,0.4,0.5,0,0.9,1.3,65.6
"2533","Donald Trump",742,0.442,7622,50.7,66.6,31.6,0.4,0.5,0,0.9,1.3,65.6
"2537","Hillary Clinton",261,0.685,17113,49.7,68.3,25.6,0.8,1.2,0.5,3.6,11.8,59.1
"2539","Donald Trump",633,0.553,17113,49.7,68.3,25.6,0.8,1.2,0.5,3.6,11.8,59.1
"2544","Donald Trump",5194,0.442,113523,51.1,59,36.6,0.5,1.7,0.2,2.1,5.5,54.9
"2548","Hillary Clinton",3891,0.68,113523,51.1,59,36.6,0.5,1.7,0.2,2.1,5.5,54.9
"2549","Hillary Clinton",560,0.506,31176,50.2,94.7,1.9,0.7,0.7,0.1,1.8,4.9,90.5
"2550","Donald Trump",2453,0.416,31176,50.2,94.7,1.9,0.7,0.7,0.1,1.8,4.9,90.5
"2561","Donald Trump",1288,0.407,21370,53.1,56.8,40.7,0.4,0.5,0.1,1.5,2.8,54.7
"2562","Hillary Clinton",1274,0.847,21370,53.1,56.8,40.7,0.4,0.5,0.1,1.5,2.8,54.7
"2563","Donald Trump",1078,0.54,14214,50.8,62.8,34.9,0.5,0.4,0.1,1.2,2,61.4
"2568","Hillary Clinton",863,0.844,14214,50.8,62.8,34.9,0.5,0.4,0.1,1.2,2,61.4
"2573","Hillary Clinton",977,0.899,13792,45.9,37.2,59.8,0.4,1.6,0.2,0.8,4.1,34
"2576","Donald Trump",415,0.504,13792,45.9,37.2,59.8,0.4,1.6,0.2,0.8,4.1,34
"2579","Hillary Clinton",656,0.557,28312,50.7,87.7,9.4,0.4,1.2,0,1.3,4.7,83.6
"2583","Donald Trump",2460,0.445,28312,50.7,87.7,9.4,0.4,1.2,0,1.3,4.7,83.6
"2585","Donald Trump",473,0.536,8797,50.1,64,30.8,0.9,1,1.8,1.6,7.6,59.3
