"","candidate","votes","fraction_votes","PST045214","SEX255214","RHI125214","RHI225214","RHI325214","RHI425214","RHI525214","RHI625214","RHI725214","RHI825214"
"174","Hillary Clinton",1297,0.629,71065,50.7,92.4,2.1,2.1,0.4,0.7,2.2,14.2,80.6
"176","Donald Trump",8525,0.478,80977,51.5,76,21.2,0.4,0.7,0.1,1.6,2.7,73.7
"178","Hillary Clinton",3019,0.801,80977,51.5,76,21.2,0.4,0.7,0.1,1.6,2.7,73.7
"183","Donald Trump",2817,0.493,37733,48.8,62.2,32.4,3.4,0.3,0.1,1.7,2.1,60.6
"188","Hillary Clinton",2027,0.885,37733,48.8,62.2,32.4,3.4,0.3,0.1,1.7,2.1,60.6
"192","Donald Trump",8657,0.461,103531,51.6,81.2,15.5,0.5,0.8,0.3,1.6,3.7,78.4
"196","Hillary Clinton",4262,0.746,103531,51.6,81.2,15.5,0.5,0.8,0.3,1.6,3.7,78.4
"197","Hillary Clinton",660,0.767,16874,50.5,86.2,11.9,0.4,0.3,0,1.1,1.4,85
"199","Donald Trump",2479,0.499,16874,50.5,86.2,11.9,0.4,0.3,0,1.1,1.4,85
"205","Donald Trump",2155,0.515,31601,50.3,91.9,4.6,1.5,0.4,0.2,1.5,16.1,78
"208","Hillary Clinton",1233,0.484,31601,50.3,91.9,4.6,1.5,0.4,0.2,1.5,16.1,78
"212","Hillary Clinton",544,0.749,26712,50.8,87.1,9.7,1,0.4,0.1,1.7,3.6,84.1
"213","Donald Trump",3106,0.486,26712,50.8,87.1,9.7,1,0.4,0.1,1.7,3.6,84.1
"219","Donald Trump",147,0.538,8553,52.5,18.5,80.5,0.2,0.2,0,0.6,1,17.9
"223","Hillary Clinton",2714,0.901,8553,52.5,18.5,80.5,0.2,0.2,0,0.6,1,17.9
"229","Hillary Clinton",2426,0.796,15184,52.8,40.8,58.1,0.2,0.3,0,0.6,1.3,40
"231","Donald Trump",590,0.521,15184,52.8,40.8,58.1,0.2,0.3,0,0.6,1.3,40
"234","Donald Trump",1778,0.468,17190,51.8,70.4,27.3,0.3,0.7,0,1.2,2.6,68.4
